age,year,value,sex,type
0,1961,12047,Male,deaths
1,1961,785,Male,deaths
2,1961,484,Male,deaths
3,1961,305,Male,deaths
4,1961,261,Male,deaths
5,1961,218,Male,deaths
6,1961,209,Male,deaths
7,1961,193,Male,deaths
8,1961,161,Male,deaths
9,1961,177,Male,deaths
10,1961,134,Male,deaths
11,1961,154,Male,deaths
12,1961,171,Male,deaths
13,1961,183,Male,deaths
14,1961,221,Male,deaths
15,1961,217,Male,deaths
16,1961,309,Male,deaths
17,1961,413,Male,deaths
18,1961,399,Male,deaths
19,1961,374,Male,deaths
20,1961,395,Male,deaths
21,1961,357,Male,deaths
22,1961,397,Male,deaths
23,1961,349,Male,deaths
24,1961,335,Male,deaths
25,1961,334,Male,deaths
26,1961,367,Male,deaths
27,1961,347,Male,deaths
28,1961,349,Male,deaths
29,1961,357,Male,deaths
30,1961,435,Male,deaths
31,1961,394,Male,deaths
32,1961,432,Male,deaths
33,1961,442,Male,deaths
34,1961,490,Male,deaths
35,1961,604,Male,deaths
36,1961,606,Male,deaths
37,1961,675,Male,deaths
38,1961,750,Male,deaths
39,1961,872,Male,deaths
40,1961,1022,Male,deaths
41,1961,1111,Male,deaths
42,1961,972,Male,deaths
43,1961,990,Male,deaths
44,1961,1198,Male,deaths
45,1961,1488,Male,deaths
46,1961,1648,Male,deaths
47,1961,1941,Male,deaths
48,1961,2117,Male,deaths
49,1961,2455,Male,deaths
50,1961,2644,Male,deaths
51,1961,2977,Male,deaths
52,1961,3415,Male,deaths
53,1961,3822,Male,deaths
54,1961,4051,Male,deaths
55,1961,4378,Male,deaths
56,1961,5126,Male,deaths
57,1961,5454,Male,deaths
58,1961,6064,Male,deaths
59,1961,6380,Male,deaths
60,1961,7020,Male,deaths
61,1961,7267,Male,deaths
62,1961,6998,Male,deaths
63,1961,7359,Male,deaths
64,1961,7544,Male,deaths
65,1961,7743,Male,deaths
66,1961,7900,Male,deaths
67,1961,8540,Male,deaths
68,1961,8682,Male,deaths
69,1961,8879,Male,deaths
70,1961,8869,Male,deaths
71,1961,8981,Male,deaths
72,1961,9451,Male,deaths
73,1961,9648,Male,deaths
74,1961,9721,Male,deaths
75,1961,9767,Male,deaths
76,1961,9965,Male,deaths
77,1961,9290,Male,deaths
78,1961,9017,Male,deaths
79,1961,8914,Male,deaths
80,1961,8501,Male,deaths
81,1961,8024,Male,deaths
82,1961,7419,Male,deaths
83,1961,6939,Male,deaths
84,1961,6535,Male,deaths
85,1961,5581,Male,deaths
86,1961,5014,Male,deaths
87,1961,4065,Male,deaths
88,1961,3278,Male,deaths
89,1961,2605,Male,deaths
90,1961,1963,Male,deaths
91,1961,1410,Male,deaths
92,1961,1055,Male,deaths
93,1961,761,Male,deaths
94,1961,507,Male,deaths
95,1961,325,Male,deaths
96,1961,235,Male,deaths
97,1961,127,Male,deaths
98,1961,63,Male,deaths
99,1961,38,Male,deaths
100,1961,39,Male,deaths
101,1961,16,Male,deaths
102,1961,12,Male,deaths
103,1961,4,Male,deaths
104,1961,2,Male,deaths
0,1962,12707,Male,deaths
1,1962,727,Male,deaths
2,1962,423,Male,deaths
3,1962,300,Male,deaths
4,1962,258,Male,deaths
5,1962,217,Male,deaths
6,1962,202,Male,deaths
7,1962,187,Male,deaths
8,1962,148,Male,deaths
9,1962,151,Male,deaths
10,1962,141,Male,deaths
11,1962,159,Male,deaths
12,1962,158,Male,deaths
13,1962,205,Male,deaths
14,1962,230,Male,deaths
15,1962,276,Male,deaths
16,1962,301,Male,deaths
17,1962,396,Male,deaths
18,1962,449,Male,deaths
19,1962,424,Male,deaths
20,1962,386,Male,deaths
21,1962,337,Male,deaths
22,1962,381,Male,deaths
23,1962,365,Male,deaths
24,1962,358,Male,deaths
25,1962,340,Male,deaths
26,1962,305,Male,deaths
27,1962,301,Male,deaths
28,1962,314,Male,deaths
29,1962,373,Male,deaths
30,1962,376,Male,deaths
31,1962,385,Male,deaths
32,1962,402,Male,deaths
33,1962,430,Male,deaths
34,1962,491,Male,deaths
35,1962,545,Male,deaths
36,1962,583,Male,deaths
37,1962,647,Male,deaths
38,1962,766,Male,deaths
39,1962,874,Male,deaths
40,1962,983,Male,deaths
41,1962,1106,Male,deaths
42,1962,1303,Male,deaths
43,1962,974,Male,deaths
44,1962,1077,Male,deaths
45,1962,1385,Male,deaths
46,1962,1579,Male,deaths
47,1962,1947,Male,deaths
48,1962,2166,Male,deaths
49,1962,2301,Male,deaths
50,1962,2609,Male,deaths
51,1962,3017,Male,deaths
52,1962,3433,Male,deaths
53,1962,3743,Male,deaths
54,1962,4097,Male,deaths
55,1962,4498,Male,deaths
56,1962,5061,Male,deaths
57,1962,5651,Male,deaths
58,1962,6005,Male,deaths
59,1962,6562,Male,deaths
60,1962,6720,Male,deaths
61,1962,7450,Male,deaths
62,1962,7817,Male,deaths
63,1962,7599,Male,deaths
64,1962,7779,Male,deaths
65,1962,7985,Male,deaths
66,1962,7782,Male,deaths
67,1962,8704,Male,deaths
68,1962,8697,Male,deaths
69,1962,9201,Male,deaths
70,1962,9098,Male,deaths
71,1962,9146,Male,deaths
72,1962,9766,Male,deaths
73,1962,9591,Male,deaths
74,1962,9852,Male,deaths
75,1962,9515,Male,deaths
76,1962,9549,Male,deaths
77,1962,9455,Male,deaths
78,1962,9160,Male,deaths
79,1962,8831,Male,deaths
80,1962,8440,Male,deaths
81,1962,7873,Male,deaths
82,1962,7814,Male,deaths
83,1962,6937,Male,deaths
84,1962,6616,Male,deaths
85,1962,5775,Male,deaths
86,1962,5087,Male,deaths
87,1962,4360,Male,deaths
88,1962,3188,Male,deaths
89,1962,2631,Male,deaths
90,1962,1965,Male,deaths
91,1962,1504,Male,deaths
92,1962,1178,Male,deaths
93,1962,771,Male,deaths
94,1962,540,Male,deaths
95,1962,352,Male,deaths
96,1962,235,Male,deaths
97,1962,131,Male,deaths
98,1962,70,Male,deaths
99,1962,41,Male,deaths
100,1962,24,Male,deaths
101,1962,14,Male,deaths
102,1962,3,Male,deaths
103,1962,6,Male,deaths
104,1962,2,Male,deaths
0,1963,12408,Male,deaths
1,1963,788,Male,deaths
2,1963,437,Male,deaths
3,1963,324,Male,deaths
4,1963,297,Male,deaths
5,1963,235,Male,deaths
6,1963,223,Male,deaths
7,1963,205,Male,deaths
8,1963,182,Male,deaths
9,1963,175,Male,deaths
10,1963,170,Male,deaths
11,1963,130,Male,deaths
12,1963,151,Male,deaths
13,1963,166,Male,deaths
14,1963,196,Male,deaths
15,1963,241,Male,deaths
16,1963,375,Male,deaths
17,1963,372,Male,deaths
18,1963,434,Male,deaths
19,1963,453,Male,deaths
20,1963,439,Male,deaths
21,1963,392,Male,deaths
22,1963,347,Male,deaths
23,1963,342,Male,deaths
24,1963,368,Male,deaths
25,1963,324,Male,deaths
26,1963,363,Male,deaths
27,1963,343,Male,deaths
28,1963,344,Male,deaths
29,1963,351,Male,deaths
30,1963,359,Male,deaths
31,1963,382,Male,deaths
32,1963,448,Male,deaths
33,1963,434,Male,deaths
34,1963,480,Male,deaths
35,1963,524,Male,deaths
36,1963,559,Male,deaths
37,1963,697,Male,deaths
38,1963,733,Male,deaths
39,1963,809,Male,deaths
40,1963,964,Male,deaths
41,1963,1031,Male,deaths
42,1963,1362,Male,deaths
43,1963,1402,Male,deaths
44,1963,1149,Male,deaths
45,1963,1269,Male,deaths
46,1963,1453,Male,deaths
47,1963,1922,Male,deaths
48,1963,2156,Male,deaths
49,1963,2400,Male,deaths
50,1963,2792,Male,deaths
51,1963,2924,Male,deaths
52,1963,3415,Male,deaths
53,1963,3742,Male,deaths
54,1963,4220,Male,deaths
55,1963,4607,Male,deaths
56,1963,5151,Male,deaths
57,1963,5683,Male,deaths
58,1963,6133,Male,deaths
59,1963,6866,Male,deaths
60,1963,7102,Male,deaths
61,1963,7205,Male,deaths
62,1963,8353,Male,deaths
63,1963,8419,Male,deaths
64,1963,8322,Male,deaths
65,1963,8359,Male,deaths
66,1963,8239,Male,deaths
67,1963,8680,Male,deaths
68,1963,9101,Male,deaths
69,1963,9182,Male,deaths
70,1963,9500,Male,deaths
71,1963,9227,Male,deaths
72,1963,9832,Male,deaths
73,1963,9956,Male,deaths
74,1963,9979,Male,deaths
75,1963,9743,Male,deaths
76,1963,9804,Male,deaths
77,1963,9607,Male,deaths
78,1963,9627,Male,deaths
79,1963,9075,Male,deaths
80,1963,8481,Male,deaths
81,1963,8118,Male,deaths
82,1963,8171,Male,deaths
83,1963,7372,Male,deaths
84,1963,6527,Male,deaths
85,1963,5746,Male,deaths
86,1963,5230,Male,deaths
87,1963,4441,Male,deaths
88,1963,3635,Male,deaths
89,1963,2918,Male,deaths
90,1963,2110,Male,deaths
91,1963,1590,Male,deaths
92,1963,1228,Male,deaths
93,1963,822,Male,deaths
94,1963,564,Male,deaths
95,1963,378,Male,deaths
96,1963,242,Male,deaths
97,1963,124,Male,deaths
98,1963,84,Male,deaths
99,1963,52,Male,deaths
100,1963,23,Male,deaths
101,1963,17,Male,deaths
102,1963,8,Male,deaths
103,1963,2,Male,deaths
104,1963,4,Male,deaths
0,1964,11989,Male,deaths
1,1964,684,Male,deaths
2,1964,406,Male,deaths
3,1964,289,Male,deaths
4,1964,262,Male,deaths
5,1964,247,Male,deaths
6,1964,196,Male,deaths
7,1964,187,Male,deaths
8,1964,163,Male,deaths
9,1964,161,Male,deaths
10,1964,139,Male,deaths
11,1964,143,Male,deaths
12,1964,155,Male,deaths
13,1964,167,Male,deaths
14,1964,200,Male,deaths
15,1964,229,Male,deaths
16,1964,400,Male,deaths
17,1964,524,Male,deaths
18,1964,463,Male,deaths
19,1964,474,Male,deaths
20,1964,438,Male,deaths
21,1964,422,Male,deaths
22,1964,345,Male,deaths
23,1964,364,Male,deaths
24,1964,344,Male,deaths
25,1964,368,Male,deaths
26,1964,329,Male,deaths
27,1964,325,Male,deaths
28,1964,360,Male,deaths
29,1964,343,Male,deaths
30,1964,359,Male,deaths
31,1964,382,Male,deaths
32,1964,409,Male,deaths
33,1964,444,Male,deaths
34,1964,470,Male,deaths
35,1964,512,Male,deaths
36,1964,591,Male,deaths
37,1964,634,Male,deaths
38,1964,751,Male,deaths
39,1964,835,Male,deaths
40,1964,912,Male,deaths
41,1964,1009,Male,deaths
42,1964,1189,Male,deaths
43,1964,1358,Male,deaths
44,1964,1532,Male,deaths
45,1964,1279,Male,deaths
46,1964,1379,Male,deaths
47,1964,1718,Male,deaths
48,1964,1850,Male,deaths
49,1964,2421,Male,deaths
50,1964,2657,Male,deaths
51,1964,2841,Male,deaths
52,1964,3328,Male,deaths
53,1964,3645,Male,deaths
54,1964,4095,Male,deaths
55,1964,4454,Male,deaths
56,1964,4942,Male,deaths
57,1964,5386,Male,deaths
58,1964,6000,Male,deaths
59,1964,6414,Male,deaths
60,1964,6733,Male,deaths
61,1964,7023,Male,deaths
62,1964,7820,Male,deaths
63,1964,8413,Male,deaths
64,1964,8661,Male,deaths
65,1964,8164,Male,deaths
66,1964,7846,Male,deaths
67,1964,8438,Male,deaths
68,1964,8459,Male,deaths
69,1964,8746,Male,deaths
70,1964,8763,Male,deaths
71,1964,8774,Male,deaths
72,1964,9244,Male,deaths
73,1964,9195,Male,deaths
74,1964,9309,Male,deaths
75,1964,9085,Male,deaths
76,1964,9059,Male,deaths
77,1964,8638,Male,deaths
78,1964,8660,Male,deaths
79,1964,8324,Male,deaths
80,1964,7710,Male,deaths
81,1964,7120,Male,deaths
82,1964,7024,Male,deaths
83,1964,6390,Male,deaths
84,1964,6064,Male,deaths
85,1964,5177,Male,deaths
86,1964,4610,Male,deaths
87,1964,3812,Male,deaths
88,1964,3177,Male,deaths
89,1964,2613,Male,deaths
90,1964,1915,Male,deaths
91,1964,1370,Male,deaths
92,1964,1087,Male,deaths
93,1964,789,Male,deaths
94,1964,523,Male,deaths
95,1964,344,Male,deaths
96,1964,234,Male,deaths
97,1964,141,Male,deaths
98,1964,102,Male,deaths
99,1964,58,Male,deaths
100,1964,22,Male,deaths
101,1964,11,Male,deaths
102,1964,8,Male,deaths
103,1964,3,Male,deaths
104,1964,2,Male,deaths
0,1965,11325,Male,deaths
1,1965,671,Male,deaths
2,1965,407,Male,deaths
3,1965,354,Male,deaths
4,1965,280,Male,deaths
5,1965,255,Male,deaths
6,1965,230,Male,deaths
7,1965,202,Male,deaths
8,1965,183,Male,deaths
9,1965,170,Male,deaths
10,1965,153,Male,deaths
11,1965,145,Male,deaths
12,1965,163,Male,deaths
13,1965,182,Male,deaths
14,1965,178,Male,deaths
15,1965,235,Male,deaths
16,1965,369,Male,deaths
17,1965,524,Male,deaths
18,1965,567,Male,deaths
19,1965,442,Male,deaths
20,1965,421,Male,deaths
21,1965,404,Male,deaths
22,1965,374,Male,deaths
23,1965,345,Male,deaths
24,1965,354,Male,deaths
25,1965,345,Male,deaths
26,1965,340,Male,deaths
27,1965,341,Male,deaths
28,1965,349,Male,deaths
29,1965,363,Male,deaths
30,1965,372,Male,deaths
31,1965,338,Male,deaths
32,1965,405,Male,deaths
33,1965,412,Male,deaths
34,1965,478,Male,deaths
35,1965,535,Male,deaths
36,1965,603,Male,deaths
37,1965,630,Male,deaths
38,1965,716,Male,deaths
39,1965,771,Male,deaths
40,1965,879,Male,deaths
